YEAR,DEMAND_EJ_BASE,DEMAND_M_KM_BASE,PROGRESSION_CURVE,REFINING_WTT,ELECTRICITY_DAC_KWH_KGCO2,GRID_CARBON_INTENSITY_WORLD,GRID_CARBON_INTENSITY_WIND
2018,,,0,,,,
2019,,,0,,,,
2020,14.32247103,63757.06379,0,6.1,0.5,0.3625,0.01
2021,14.37976091,64012.09204,0,6.02345098,0.491681468,0.35385,0.009936667
2022,14.43727996,65579.73511,0,5.946901961,0.483362937,0.3452,0.009873333
2023,14.49502908,67185.76944,0.000610879,5.870352941,0.475044405,0.33655,0.00981
2024,14.55071758,68820.29661,0.000911051,5.793803922,0.466725873,0.3279,0.009746667
2025,14.84173193,71629.28831,0.00135852,5.717254902,0.458407342,0.31925,0.009683333
2026,15.13856657,74552.93273,0.00202532,5.640705882,0.45008881,0.3106,0.00962
2027,15.4413379,77595.90958,0.003018416,5.564156863,0.441770278,0.30195,0.009556667
2028,15.75016466,80763.08956,0.004496273,5.487607843,0.433451747,0.2933,0.009493333
2029,16.06516795,84059.5422,0.006692851,5.411058824,0.425133215,0.28465,0.00943
2030,16.38647131,87490.54392,0.009951802,5.334509804,0.416814683,0.276,0.009366667
2031,16.71420074,91061.58653,0.014774032,5.257960784,0.408496152,0.266227778,0.009303333
2032,17.04848475,94778.38598,0.021881271,5.181411765,0.40017762,0.256455556,0.00924
2033,17.38945445,98646.89153,0.032295465,5.104862745,0.391859088,0.246683333,0.009176667
2034,17.73724353,102673.2953,0.047425873,5.028313726,0.383540557,0.236911111,0.009113333
2035,18.09198841,106864.042,0.06913842,4.951764706,0.375222025,0.227138889,0.00905
2036,18.45382817,111225.8396,0.099750489,4.875215686,0.366903493,0.217366667,0.008986667
2037,18.82290474,115765.6698,0.141851065,4.798666667,0.358584962,0.207594444,0.008923333
2038,19.19936283,120490.7992,0.197816111,4.722117647,0.35026643,0.197822222,0.00886
2039,19.58335009,125408.791,0.268941421,4.645568628,0.341947898,0.18805,0.008796667
2040,19.97501709,130527.5172,0.354343694,4.569019608,0.333629367,0.178277778,0.008733333
2041,20.37451743,135855.1709,0.450166003,4.492470588,0.325310835,0.168505556,0.00867
2042,20.78200778,141400.28,0.549833997,4.415921569,0.316992303,0.158733333,0.008606667
2043,21.19764794,147171.72,0.645656306,4.339372549,0.308673772,0.148961111,0.008543333
2044,21.62160089,153178.7289,0.731058579,4.262823529,0.30035524,0.139188889,0.00848
2045,22.05403291,159430.922,0.802183889,4.18627451,0.292036708,0.129416667,0.008416667
2046,22.49511357,165938.3065,0.858148935,4.10972549,0.283718176,0.119644444,0.008353333
2047,22.94501584,172711.2986,0.900249511,4.033176471,0.275399645,0.109872222,0.00829
2048,23.40391616,179760.7394,0.95,3.956627451,0.267081113,0.1001,0.008226667
2049,23.87199448,187097.9124,0.985,3.880078431,0.258762581,0.090327778,0.008163333
2050,24.34943437,194734.5619,1,3.803529412,0.25044405,0.080555556,0.0081
2051,24.83642306,202682.9114,1,3.803529412,0.25044405,0.056388889,0.00567
2052,25.33315152,210955.6833,1,3.803529412,0.25044405,0.039472222,0.003969
2053,25.83981455,219566.1193,1,3.803529412,0.25044405,0.027630556,0.0027783
2054,26.35661084,228528.0017,1,3.803529412,0.25044405,0.019341389,0.00194481
2055,26.88374306,237855.6753,1,3.803529412,0.25044405,0.013538972,0.001361367
2056,27.42141792,247564.0702,1,3.803529412,0.25044405,0.009477281,0.000952957
2057,27.96984628,257668.7261,1,3.803529412,0.25044405,0.006634096,0.00066707
2058,28.5292432,268185.817,1,3.803529412,0.25044405,0.004643868,0.000466949
2059,29.09982807,279132.1769,1,3.803529412,0.25044405,0.003250707,0.000326864
2060,29.68182463,290525.3269,1,3.803529412,0.25044405,0.002275495,0.000228805
